feature_id,name,axis,sign,source,source_field,method,buffer_m,v1,notes
A1,활엽수림 면적비,A,+,임상도(산림청 1:5000),임상=활엽수림,area_ratio,30,Y,축 F에서 단풍 잠재력으로 재사용
A2,침엽수림 면적비,A,+,임상도(산림청 1:5000),임상=침엽수림,area_ratio,30,Y,상록. A1과 분리 유지
A3,하천·호소 근접도,A,+,하천·호소 폴리곤,-,proximity,200,Y,d0=100m
A4,해안 근접도,A,+,해안선,-,proximity,300,Y,해파랑길 전구간 인접 → 표준편차 확인 후 제외 판단
A5,초지 비율,A,-,토지피복 세분류,자연초지/인공초지,area_ratio,30,N,v1 제외: 한국 둔치공원(인공초지)이 A3와 충돌. 컬럼은 계산해 저장만
A6,화목 비율,A,+,가로수길 표준데이터,가로수종류,count_ratio,30,Y,"개화종 그루수/전체 그루수. 데이터가 시작·끝 2점뿐(선형 없음, 동일좌표 27구간)이라 면적비 불가 → 도로망 스냅 후 구간 비율"
A7,공원 근접도,A,+,전국도시공원정보표준데이터,공원구분(어린이·묘지 제외),proximity,300,Y,경북 1148개 좌표 전건. 꽃 정보는 없음 — 화목은 A6·축제데이터 담당
B1,건축물형 유산,B,+,국가유산 공간정보,유형분류(사찰·서원·향교·고택),count_weighted,150,Y,등급가중 2:1.5:1
B2,석조물형 유산,B,+,국가유산 공간정보,유형분류(석탑·석불·비석),count_weighted,100,Y,중분류 필드 유무 확인 필요
B3,유적형 유산,B,+,국가유산 공간정보,유형분류(성곽·읍성·고분),count_weighted,200,Y,중분류 필드 유무 확인 필요
B4,전통마을 근접도,B,+,민속마을·한옥 지정,-,proximity,500,Y,d0=250m
B5,공공조형물 개수,B,+,전국공공미술및조형물표준데이터,작품유형,count_weighted,50,Y,주소만 제공 → 지오코딩 필요
B6,지역특화거리 포함,B,+,전국지역특화거리표준데이터,-,presence,0,Y,주소만 제공 → 지오코딩 필요
Z1,공업지역 면적비,Z,-,토지피복 세분류,공업지역,area_ratio,100,Y,상시 적용. 끌 수 없음
Z2,인공나지 면적비,Z,-,토지피복 세분류,인공나지,area_ratio,100,Y,상시 적용
Z3,간선도로 근접도,Z,-,도로망(등급 필터),도로등급,proximity,100,Y,상시 적용. d0=50m
C1,도로소음 추정,C,-,소음측정망+도로망+교통량,-,noise_decay,50,N,LUR 회귀로 2005지점→전국 추론
D1,종단경사 평균,D,-,DEM 5m,-,slope_mean,0,N,DEM 읽을 때 미리 계산해 컬럼 저장
D2,누적표고,D,-,DEM 5m,-,slope_mean,0,N,D1과 동시 계산
E1,평균 가시거리,E,+,DEM 5m,-,viewshed,0,N,계산 비용 큼
F1,단풍 잠재력,F,+,임상도+날짜,-,reuse(A1),30,Y,A1 재사용 + config/season_calendar.csv 게이트
